airport_icao,airport_iata,airport_name,latitude,longitude,country_iso,country
EBBR,BRU,Brussels Airport,50.901034,4.478627,BE,Belgium
EHAM,AMS,Amsterdam Airport Schiphol,52.326979,4.741505,NL,Netherlands
KFLL,FLL,Fort Lauderdale-Hollywood International Airport,26.072017,-80.150997,US,United States
KMCO,MCO,Orlando International Airport,28.412904,-81.309443,US,United States
KORD,ORD,O'Hare International Airport,41.977957,-87.909176,US,United States
LFPO,ORY,Paris Orly Airport,48.748477,2.355722,FR,France
LPPR,OPO,Porto Airport,41.24883,-8.681037,PT,Portugal
LPPT,LIS,Lisbon Portela Airport,38.780954,-9.131901,PT,Portugal
MGGT,GUA,La Aurora International Airport,14.583317,-90.52716,GT,Guatemala
MMMX,MEX,Benito Juarez International Airport,19.435278,-99.07278,MX,Mexico
MPTO,PTY,Tocumen International Airport,9.066781,-79.381482,PA,Panama
MSLP,SAL,El Salvador International Airport,13.450925,-89.052405,SV,El Salvador
SAAR,ROS,Fisherton Airport,-32.933334,-60.783333,AR,Argentina
SACO,COR,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport,-31.31548,-64.21377,AR,Argentina
SAEZ,EZE,Ministro Pistarini Airport,-34.816814,-58.547423,AR,Argentina
SAZS,BRC,San Carlos de Bariloche International Airport,-41.145966,-71.16109,AR,Argentina
SBAC,ARX,Asbury Park,40.216667,-74.1,US,United States
SBAE,JTC,Bauru-Arealva Airport,-22.157058,-49.075159,BR,Brazil
SBAQ,AQA,Araraquara,-21.816668,-48.13333,BR,Brazil
SBAR,AJU,Aracaju Airport,-10.982812,-37.076025,BR,Brazil
SBAT,AFL,Alta Floresta Airport,-9.866163,-56.106038,BR,Brazil
SBAU,ARU,Aracatuba Airport,-21.140815,-50.425139,BR,Brazil
SBAX,AAX,Araxa Airport,-19.563132,-46.960406,BR,Brazil
SBBE,BEL,Val De Cans International Airport,-1.379858,-48.479646,BR,Brazil
SBBH,PLU,Belo Horizonte Airport,-19.75,-43.75,BR,Brazil
SBBR,BSB,Brasilia International Airport,-15.871748,-47.911722,BR,Brazil
SBBV,BVB,Boa Vista Airport,2.833333,-60.666668,BR,Brazil
SBBW,BPG,Barra Do Garcas,-15.860672,-52.390067,BR,Brazil
SBCA,CAC,Cascavel Airport,-24.95,-53.466667,BR,Brazil
SBCB,CFB,Cabo Frio International Airport,-22.923361,-42.076586,BR,Brazil
SBCF,CNF,Tancredo Neves International Airport,-19.633398,-43.968369,BR,Brazil
SBCG,CGR,Campo Grande International Airport,-20.471577,-54.682246,BR,Brazil
SBCH,XAP,Chapeco Airport,-27.088612,-52.629723,BR,Brazil
SBCJ,CKS,Carajas Airport,-6.116556,-49.997743,BR,Brazil
SBCN,CLV,Caldas Novas,-17.72479,-48.608174,BR,Brazil
SBCP,CAW,Bartolomeu Lisandro Airport,-21.75,-41.3,BR,Brazil
SBCR,CMG,Corumba Internacional Airport,-19.012578,-57.669759,BR,Brazil
SBCT,CWB,Afonso Pena International Airport,-25.5322,-49.176544,BR,Brazil
SBCX,CXJ,Hugo Cantergiani Regional Airport,-29.19706,-51.186165,BR,Brazil
SBCY,CGB,Marechal Rondon International Airport,-15.651725,-56.120266,BR,Brazil
