IATACode,ICAOCode,Model,Aircraft_Manufacturer,WingType,Type,Manufacturer
32N,A20N,Airbus A320neo,Airbus,Fixed Wing,Airplane,Airbus
A4F,A124,Antonov AN-124 Ruslan,Antonov,Fixed Wing,Airplane,Antonov
351,A35K,Airbus A350-1000,Airbus,Fixed Wing,Airplane,Airbus
339,A339,Airbus A330-900neo,Airbus,Fixed Wing,Airplane,Airbus
BH2,B212,Bell 212,Bell,Rotary Wing,Helicopter,Bell
333,A333,Airbus A330-300,Airbus,Fixed Wing,Airplane,Airbus
AT7,AT72,Aerospatiale/Alenia ATR 72,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
N/A,BL8,"8KCAB Decathlon, 8GCBC Scout",Aeroprakt,Fixed Wing,Airplane,Aeroprakt
312,A310,Airbus A310-200,Airbus,Fixed Wing,Airplane,Airbus
736,B736,Boeing 737-600,Boeing,Fixed Wing,Airplane,Boeing
734,B734,Boeing 737-400,Boeing,Fixed Wing,Airplane,Boeing
143,B463,BAe 146-300,(undefined),Fixed Wing,Airplane,British Aerospace
AR7,RJ70,Avro RJ70,Avro International Aerospace,Fixed Wing,Airplane,Avro International Aerospace
(undefined),A337,Airbus A330-700 "Beluga XL",Airbus,Fixed Wing,Airplane,Airbus
AT5,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
N/A,A210,Aquila A 210,Aquila,Fixed Wing,Airplane,Aquila
A32,AN32,Antonov AN-32,Antonov,Fixed Wing,Airplane,Antonov
CRV,S210,Aerospatiale (Sud Aviation) Se.210 Caravelle,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
32C,A318,Airbus A318 (sharklets),Airbus,Fixed Wing,Airplane,Airbus
223,BCS3,Airbus A220-300,Airbus,Fixed Wing,Airplane,Airbus
ATR,AT73,Aerospatiale/Alenia ATR 72-200 series,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
321,A321,Airbus A321,Airbus,Fixed Wing,Airplane,Airbus
346,A346,Airbus A340-600,Airbus,Fixed Wing,Airplane,Airbus
ATR,AT76,Aerospatiale/Alenia ATR 72-600,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
A58,A158,Antonov An-158,Antonov,Fixed Wing,Airplane,Antonov
ABB,A3ST,Airbus A300-600ST "Super Transporter" / "Beluga",Airbus,Fixed Wing,Airplane,Airbus
313,A310,Airbus A310-300,Airbus,Fixed Wing,Airplane,Airbus
32A,A320,Airbus A320 (sharklets),Airbus,Fixed Wing,Airplane,Airbus
32D,A319,Airbus A319 (sharklets),Airbus,Fixed Wing,Airplane,Airbus
(undefined),EA33,Airbus A330 (deprecated 1997: code replaced),Airbus,Fixed Wing,Airplane,Airbus
N/A,BER2,Beriev Be-200 Altair,Beriev Aircraft Company,Fixed Wing,Airplane,Beriev Aircraft Company
338,A338,Airbus A330-800neo,Airbus,Fixed Wing,Airplane,Airbus
721,B721,Boeing 727-100,Boeing,Fixed Wing,Airplane,Boeing
343,A343,Airbus A340-300,Airbus,Fixed Wing,Airplane,Airbus
388,A388,Airbus A380-800,Airbus,Fixed Wing,Airplane,Airbus
A81,A148,Antonov An-148,Antonov,Fixed Wing,Airplane,Antonov
74D,B743,Boeing 747-300M,Boeing,Fixed Wing,Airplane,Boeing
A26,AN26,Antonov AN-26,Antonov,Fixed Wing,Airplane,Antonov
AN7,AN72,Antonov AN-72 / AN-74,Antonov,Fixed Wing,Airplane,Antonov
B72,B720,Boeing 720B,Boeing,Fixed Wing,Airplane,Boeing
BH2,B429,Bell 429,Bell,Rotary Wing,Helicopter,Bell
(undefined),EA31,Airbus A310 (deprecated 1997: code replaced),Airbus,Fixed Wing,Airplane,Airbus
142,B462,BAe 146-200,(undefined),Fixed Wing,Airplane,British Aerospace
AR8,RJ85,Avro RJ85,Avro International Aerospace,Fixed Wing,Airplane,Avro International Aerospace
BH2,B412,Bell 412,Bell,Rotary Wing,Helicopter,Bell
74X,B742,Boeing 747-200F,Boeing,Fixed Wing,Airplane,Boeing
342,A342,Airbus A340-200,Airbus,Fixed Wing,Airplane,Airbus
